name,sku,ean,detail,images,price,categories
"CAB-ETH-S-RJ45=Yellow Cable for Ethernet, Straight-through, RJ-45, 6 feet",CAB-ETH-S-RJ45=,4053162282797,"            <table class=""product_specs"">
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Features</b>
                                    </td></tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Connector 1
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""This is the first connector in the device."" title=""This is the first connector in the device."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        RJ-45
                                                                     
                                                                                                                        </td>
            </tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Connector 2
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""This is the second connector in the device."" title=""This is the second connector in the device."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        RJ-45
                                                                     
                                                                                                                        </td>
            </tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Cable length
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""How long the cable is."" title=""How long the cable is."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        1.8
                                                                     m
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Technical details</b>
                                    </td></tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Cable colour
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Colour of the cable e.g. white, gray."" title=""Colour of the cable e.g. white, gray."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        Yellow
                                                                     
                                                                                                                        </td>
            </tr>
</table>
<div class=""clearer""></div>
    <br>",https://www.senetic.co.uk/i/norm/high/29695-7646.jpg,£7.78 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"800-IL-PM-2=2 Port 802.3af compatible pwr module for 800 Series",800-IL-PM-2=,4053162433083,"            <table class=""product_specs"">
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Networking</b>
                                    </td></tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Power over Ethernet (PoE)
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""The device supports Power over Ethernet (PoE), which is one of several standardized or ad-hoc systems which pass electrical power along with data on Ethernet cabling. This allows a single cable to provide both data connection and electrical power to devices such as wireless access points or IP cameras."" title=""The device supports Power over Ethernet (PoE), which is one of several standardized or ad-hoc systems which pass electrical power along with data on Ethernet cabling. This allows a single cable to provide both data connection and electrical power to devices such as wireless access points or IP cameras."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        Yes
                                                                     
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Features</b>
                                    </td></tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Colour of product
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""The colour e.g. red, blue, green, black, white."" title=""The colour e.g. red, blue, green, black, white."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        Black
                                                                     
                                                                                                                        </td>
            </tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Networking standards
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""The way in which the network is working, e.g. IEEE 802.11a, IEEE 802.11b, IEEE 802.11g."" title=""The way in which the network is working, e.g. IEEE 802.11a, IEEE 802.11b, IEEE 802.11g."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        IEEE 802.3af
                                                                     
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Ports &amp; interfaces</b>
                                    </td></tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Ethernet LAN (RJ-45) ports
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Number of Ethernet LAN (RJ-45) ports (connecting interfaces) in the device.  Ethernet LAN (RJ-45) ports allow a computer to connect to the ethernet."" title=""Number of Ethernet LAN (RJ-45) ports (connecting interfaces) in the device.  Ethernet LAN (RJ-45) ports allow a computer to connect to the ethernet."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        2
                                                                     
                                                                                                                        </td>
            </tr>
</table>
<div class=""clearer""></div>
    <br>",https://www.senetic.co.uk/i/norm/high/5417841-8908.jpg|https://www.senetic.co.uk//i/gallery/5417841-8908.jpg,£66.16 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"CAB-ADSL-800-RJ11=ADSL RJ11-to-RJ11 Straight Cable",CAB-ADSL-800-RJ11=,0882658241321,"            <table class=""product_specs"">
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Features</b>
                                    </td></tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Cable length
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""How long the cable is."" title=""How long the cable is."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        10
                                                                     m
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Technical details</b>
                                    </td></tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Cable colour
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Colour of the cable e.g. white, gray."" title=""Colour of the cable e.g. white, gray."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        White
                                                                     
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Other features</b>
                                    </td></tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">I/O ports
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""An interface on a device to which you can connect another device."" title=""An interface on a device to which you can connect another device."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        1 x RJ11\n1 x RJ11
                                                                     
                                                                                                                        </td>
            </tr>
</table>
<div class=""clearer""></div>
    <br>",https://www.senetic.co.uk/i/norm/high/3739506-7965.jpg,£6.62 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"800G2-POE-2=2 Port 802.3af compatible PoE module for 880 Series",800G2-POE-2=,0882658632860,"800G2-POE-2=2 Port 802.3af compatible PoE module for 880 Series",,£89.52 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"MEM8XX-256U512D=DRAM Upgrade 256 MB to 512 MB",MEM8XX-256U512D=,0882658178283,"MEM8XX-256U512D=DRAM Upgrade 256 MB to 512 MB",,£110.93 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"800-IL-PM-22 Port 802.3af compatible pwr module for 800 Series",800-IL-PM-2,0882658178023,"            <table class=""product_specs"">
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Networking</b>
                                    </td></tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Power over Ethernet (PoE)
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""The device supports Power over Ethernet (PoE), which is one of several standardized or ad-hoc systems which pass electrical power along with data on Ethernet cabling. This allows a single cable to provide both data connection and electrical power to devices such as wireless access points or IP cameras."" title=""The device supports Power over Ethernet (PoE), which is one of several standardized or ad-hoc systems which pass electrical power along with data on Ethernet cabling. This allows a single cable to provide both data connection and electrical power to devices such as wireless access points or IP cameras."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        Yes
                                                                     
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Features</b>
                                    </td></tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Colour of product
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""The colour e.g. red, blue, green, black, white."" title=""The colour e.g. red, blue, green, black, white."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        Black
                                                                     
                                                                                                                        </td>
            </tr>
<tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Networking standards
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""The way in which the network is working, e.g. IEEE 802.11a, IEEE 802.11b, IEEE 802.11g."" title=""The way in which the network is working, e.g. IEEE 802.11a, IEEE 802.11b, IEEE 802.11g."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        IEEE 802.3af
                                                                     
                                                                                                                        </td>
            </tr>
<tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Ports &amp; interfaces</b>
                                    </td></tr>
<tr style=""background: #ffffff"">
<td style=""width: 300px;"">Ethernet LAN (RJ-45) ports
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Number of Ethernet LAN (RJ-45) ports (connecting interfaces) in the device.  Ethernet LAN (RJ-45) ports allow a computer to connect to the ethernet."" title=""Number of Ethernet LAN (RJ-45) ports (connecting interfaces) in the device.  Ethernet LAN (RJ-45) ports allow a computer to connect to the ethernet."" style=""vertical-align:middle;"">
</td>
<td>
                                                                                                        2
                                                                     
                                                                                                                        </td>
            </tr>
</table>
<div class=""clearer""></div>
    <br>",https://www.senetic.co.uk/i/norm/high/5417841-8908.jpg|https://www.senetic.co.uk//i/gallery/5417841-8908.jpg,£58.38 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"MEM8XX-256U768D=DRAM Upgrade 256 MB to 768 MB",MEM8XX-256U768D=,0882658178290,"MEM8XX-256U768D=DRAM Upgrade 256 MB to 768 MB",,£134.28 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"MEM8XX-512U768D=DRAM Upgrade 512 MB to 768 MB",MEM8XX-512U768D=,4053162292765,"MEM8XX-512U768D=DRAM Upgrade 512 MB to 768 MB",,£110.93 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"MEM8XX-256U768DDRAM Upgrade 256 MB to 768 MB",MEM8XX-256U768D,,"MEM8XX-256U768DDRAM Upgrade 256 MB to 768 MB",,£97.30 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
"PWR1-20W-12VDCC819(H)G 12V DC power supply",PWR1-20W-12VDC,,"PWR1-20W-12VDCC819(H)G 12V DC power supply",,£48.65 ,"Senetic|Cisco|Cisco Routers|800 Series|Cisco 880 Series Options & Spares"
